KEY,KOREAN,ENGLISH
가벼움,가벼움,Light
가볍지만 단단한 장비입니다.,가볍지만 단단한 장비입니다.,"Light, but hard enough."
강철 장비에 화염 속성 강화를 더하여 탄생한 장비입니다. 모닥불을 피울 수고를 덜게 되었습니다.,강철 장비에 화염 속성 강화를 더하여 탄생한 장비입니다. 모닥불을 피울 수고를 덜게 되었습니다.,Fire core is attached to a iron weapons. Saves time for litting some bonfires.
"강철을 단단하게 엮어 만든 장비로, 충격을 가하는 데에 특화되어 있습니다.","강철을 단단하게 엮어 만든 장비로, 충격을 가하는 데에 특화되어 있습니다.",This weapon is great against rock-solid monsters.
강철을 엮어 만든 장비입니다.,강철을 엮어 만든 장비입니다.,Wooden weapon upgraded with some stones.
강화,강화,Upgrade
견고함,견고함,Sturdy
골드,골드,Gold
깡깡 대장간,깡깡 대장간,Kang' Can blacksmith
끈적거림,끈적거림,Sticky
끈적한 세트,끈적한 세트,Slimy
끈적한 장비를 꽝꽝 얼려 만든 장비입니다. 가까이 있기만 해도 시원해집니다. 절대 혀를 가져다 대지 마세요.,끈적한 장비를 꽝꽝 얼려 만든 장비입니다. 가까이 있기만 해도 시원해집니다. 절대 혀를 가져다 대지 마세요.,"Frozen slime weapon it is. It surely is cold and cool, but always keep your tongue away from it."
나무 세트,나무 세트,Wooden
나무 장비에 가져온 책들을 엮어 만든 장비입니다. 책에 부여된 방어 마법이 사용자를 보호해 줍니다.,나무 장비에 가져온 책들을 엮어 만든 장비입니다. 책에 부여된 방어 마법이 사용자를 보호해 줍니다.,Books are tied to a wooden weapons. Enchantment on the books keep the owner from the lethal damage.
녹슬어버린 세트,녹슬어버린 세트,Rusty
눈사람 만들래...?,눈사람 만들래...?,Do you wanna build a snowman...?
단단한 나뭇가지,단단한 나뭇가지,Stick
단축키,단축키,Hotkey
대장간,대장간,Blacksmith
대장간으로,대장간으로,To blacksmith
던전,던전,Dungeon
동굴,동굴,Caves
드래곤 세트,드래곤 세트,Dragon
드래곤의 유해,드래곤의 유해,Dragon's remain
드래곤의 힘,드래곤의 힘,Dragon's Might
"드래곤의 힘과 육신은 너무나도 강력해서, 장비로 만들어도 그 권능이 남아있습니다.","드래곤의 힘과 육신은 너무나도 강력해서, 장비로 만들어도 그 권능이 남아있습니다.","Dragon's might and body is so powerful, it keeps its might even after it is made into weapons."
따끈따끈한 세트,따끈따끈한 세트,Hotspa
따뜻한 햇살과 바람이 불어오는 평원입니다. 산책가기에 딱 좋은 장소입니다.,따뜻한 햇살과 바람이 불어오는 평원입니다. 산책가기에 딱 좋은 장소입니다.,"What a sunny, windy field it is. Would be a good place for picnic."
따뜻함,따뜻함,Warmth
뜨거운 기운으로 가득 찬 핵입니다.,뜨거운 기운으로 가득 찬 핵입니다.,Sizzling core filled with blazing energy.
마법사의 탑,마법사의 탑,Wizard's tower
마법이 걸림,마법이 걸림,Enchanted
마왕성,마왕성,Demon king's castle
마왕을 쓰러뜨렸습니다!,마왕을 쓰러뜨렸습니다!,You have slained the Demon king!
마왕이 살고 있는 성입니다. 설명이 더 필요할까요?,마왕이 살고 있는 성입니다. 설명이 더 필요할까요?,This is where the Demon king lives. Do you need any further explanations?
망치,망치,Hammer
메탈 세트,메탈 세트,Metal
모험가 파티,모험가 파티,Adventurer Party
목적지,목적지,Destination
발견,발견,Discovery
보상,보상,Reward
보호 마법이 부여된 책입니다. 책의 주인이 아끼던 책인가 봅니다.,보호 마법이 부여된 책입니다. 책의 주인이 아끼던 책인가 봅니다.,Books are enchanted with protective magic. Its owner must have been a real bookworm.
볼륨,볼륨,Volume
불러오기,불러오기,Load
불타는 핵,불타는 핵,Fire core
비용,비용,Cost
산,산,Mountain
생산량,생산량,Earning
설정,설정,Settings
소요시간,소요시간,Time Estimated
슬라임 핵,슬라임 핵,Slime core
슬라임 핵을 끼운 나무 장비입니다. 끈적거리지만 나무보다는 강력합니다.,슬라임 핵을 끼운 나무 장비입니다. 끈적거리지만 나무보다는 강력합니다.,"Slime core attached to a wooden weapons. It surely is sticky, but is stronger than the wooden one."
슬라임의 본체인 핵입니다. 끈적한 슬라임이 자꾸 새어나옵니다.,슬라임의 본체인 핵입니다. 끈적한 슬라임이 자꾸 새어나옵니다.,Slime's main bodypart. The thick slime is constantly oozing out of it.
야영,야영,Camping
언어,언어,Language
얼어붙은 세트,얼어붙은 세트,Frozen
얼어붙은 핵,얼어붙은 핵,Frozen core
얼어붙음,얼어붙음,Frozen
얼음 동굴,얼음 동굴,Icy caves
여기서는 연날리기를 추천드리지 않습니다.,여기서는 연날리기를 추천드리지 않습니다.,You do NOT want to fly a kite here.
영어,영어,English
"오르막길을 올라야 하니, 짐을 너무 많이 챙기지는 마세요.","오르막길을 올라야 하니, 짐을 너무 많이 챙기지는 마세요.",Overpacking is not recommended since you are about to climb a whole mountain.
와지끈,와지끈,CRASH
요구 재료:,요구 재료:,Requires:
용사의 징표,용사의 징표,The mark of the hero
용의 힘이 이 장비들에게 아무리 강력한 존재라도 상처입힐 수 있는 권능을 부여했습니다.,용의 힘이 이 장비들에게 아무리 강력한 존재라도 상처입힐 수 있는 권능을 부여했습니다.,"Dragon has granted these weapons with the might, making it possible to wound the strong beings."
월드맵,월드맵,World Map
장비,장비,Equipment
"장비가 전체적으로 가볍기에, 보다 편하게 움직일 수 있습니다.","장비가 전체적으로 가볍기에, 보다 편하게 움직일 수 있습니다.",Light weapons surely lifts your burden.
"장비가 지속적으로 열을 내뿜어, 추운 지역에서도 체온을 유지할 수 있습니다.","장비가 지속적으로 열을 내뿜어, 추운 지역에서도 체온을 유지할 수 있습니다.",Weapon is consistantly emitting heat from its core. It will keep you warm.
장비에 부여된 보호 마법이 사용자를 화염 피해에서 보호해 줍니다.,장비에 부여된 보호 마법이 사용자를 화염 피해에서 보호해 줍니다.,The enchantment casted on the weapon keeps its users safe from fire damage.
장비에서 뿜어져나오는 냉기가 눈을 내리게 하고 날아다니는 존재들의 날개를 얼어붙게 만듭니다.,장비에서 뿜어져나오는 냉기가 눈을 내리게 하고 날아다니는 존재들의 날개를 얼어붙게 만듭니다.,The cold air from the weapon will make snowdrops to fall and freeze the wings of those flying beings.
장비에서 새어나오는 슬라임이 적들의 움직임을 둔하게 만들어줍니다.,장비에서 새어나오는 슬라임이 적들의 움직임을 둔하게 만들어줍니다.,Slime oozing out of this weapon is slowing monsters down.
